od3	od3_7	What word means 60 seconds?	["Hour","Minute","Year","Month"]	Minute	★☆☆☆☆	正確答案： B (Minute)。原因： 60秒 (60 seconds) 等於一分鐘 (minute) 7。\n錯誤選項原因： A(小時)是60分鐘，C(年)是12個月，D(月)是約30天 7。
od3	od3_7	What word means 60 minutes?	["Second","Month","Hour","Day"]	Hour	★☆☆☆☆	正確答案： C (Hour)。原因： 60分鐘 (60 minutes) 組成一小時 (hour) 7。\n錯誤選項原因： A(秒)太短，B(月)與D(天)太長 7。
od3	od3_7	When the sun is very high at 12:00 in the daytime, it is called:	["Night","Morning","Noon","Evening"]	Noon	★★☆☆☆	正確答案： C (Noon)。原因： 太陽升到最高點的白天12點，我們稱之為正午 (noon) 1。\n錯誤選項原因： A(夜晚)、B(早晨)、D(傍晚) 太陽的位置與時間皆不符合 1。
od3	od3_7	To turn around fast like a top means to:	["Orbit","Spin","Jump","Walk"]	Spin	★★★☆☆	正確答案： B (Spin)。原因： 像陀螺一樣快速原地旋轉的動作叫做自轉 (spin) 2。\n錯誤選項原因： A(公轉/軌道)是繞著另一物體轉，C(跳)、D(走)皆不是旋轉的意思 2。
od3	od3_7	The imaginary line the Earth turns on is the:	["Axis","Time zone","Planet","Star"]	Axis	★★★☆☆	正確答案： A (Axis)。原因： 地球賴以自轉的那條假想線稱為軸心 (axis) 2。\n錯誤選項原因： B(時區)、C(行星)、D(恆星) 都不是貫穿地球中心的旋轉軸 2。
od3	od3_7	What is Earth?	["A star","A sun","A planet","A moon"]	A planet	★★☆☆☆	正確答案： C (A planet)。原因： 課文圖片與背景知識皆表明地球是一顆行星 (planet) 3。\n錯誤選項原因： A(恆星)與B(太陽)會發光，D(衛星/月亮)繞著行星轉，地球不屬於這三者 3。
od3	od3_7	How do we find the total minutes in a day? We ___ 24 by 60.	["Add","Subtract","Multiply","Divide"]	Multiply	★★★☆☆	正確答案： C (Multiply)。原因： 為了得到一天的總分鐘數，我們將24和60「相乘 (multiply)」 2。\n錯誤選項原因： A(加)、B(減)、D(除) 無法計算出 1440 總分鐘數 2。
od3	od3_7	When something goes around the sun, it ___ the sun.	["Spins","Orbits","Measures","Prepares"]	Orbits	★★★☆☆	正確答案： B (Orbits)。原因： 繞著太陽運行的動作稱為「公轉 (orbits)」 3。\n錯誤選項原因： A(自轉)是原地轉，C(測量)與D(準備)完全不符合天文運動的情境 3。
od3	od3_7	To find out how long or big something is, we ___ it.	["Measure","Opposite","Accurate","Suggest"]	Measure	★★★☆☆	正確答案： A (Measure)。原因： 找出某物的長度或大小，這個動作稱為測量 (measure) 4。\n錯誤選項原因： B(相反的)、C(準確的)是形容詞，D(建議)與測量無關 4。
od3	od3_7	The time on the ___ side of the Earth is different.	["Accurate","Orbit","Opposite","Multiply"]	Opposite	★★★☆☆	正確答案： C (Opposite)。原因： 課文提到在地球的「另一端/相對的一側 (opposite side)」，時間是不同的 4。\n錯誤選項原因： A(準確的)、B(軌道)、D(相乘) 放在句子中語意不通 4。
od3	od3_7	If something is perfectly correct, it is very:	["Accurate","Spin","Planet","Opposite"]	Accurate	★★★★☆	正確答案： A (Accurate)。原因： 完美正確、沒有誤差的狀態形容為「精確的 (accurate)」 3。\n錯誤選項原因： B(旋轉)、C(行星)、D(相反的) 的字義皆不代表正確無誤 3。
