od3	od3_7	Second	名詞 (Noun)	秒	sec (跟隨) -> 分鐘之後跟隨的更小單位。	諧音「塞肯」，一秒鐘內可以塞進去一口肯德基。	計時器上的數字飛快跳動，滴答滴答。	a split second, minute, hour	⏱️	There are 60 seconds in a minute.	一分鐘有60秒。	One, two, a second flies for you!	Second (秒/第二) vs. Minute (分鐘)。
od3	od3_7	Minute	名詞 (Noun)	分鐘	min (小) -> 小的時間單位。	諧音「迷你特」，迷你特務只需要一分鐘就能完成任務。	下課鐘響前，盯著時鐘倒數最後一分鐘。	wait a minute, minute hand	⏳	There are 60 minutes in an hour.	一小時有60分鐘。	A minute is short, let's play a sport!	Minute (分鐘) vs. Minuet (小步舞曲)。
od3	od3_7	Hour	名詞 (Noun)	小時	來自古希臘語 hora (時間/季節)。	諧音「阿爾」，阿爾卑斯山上走一個小時才到山頂。	牆上的時鐘短針走了一大格。	half an hour, hourly	🕒	There are 24 hours in a day.	一天有24小時。	Tick tock, one hour on the clock!	Hour (小時，h不發音) vs. Our (我們的)。發音完全相同！
od3	od3_7	Noon	名詞 (Noun)	正午 (中午 12 點)	來自拉丁語 nona (第九小時)，古代指下午三點，後來演變成中午。	諧音「怒」，中午太陽太大，熱到讓人發怒。	太陽高掛在正頭頂，肚子餓了準備吃午餐。	afternoon, at noon	☀️	At noon, when the sun was very high, they ate and rested.	在正午，當太陽非常高的時候，他們吃飯並休息。	Noon is bright, full of light!	Noon (正午) vs. Moon (月亮)。
od3	od3_7	Day	名詞 (Noun)	一天，白天	來自日耳曼語系，表示發光或燃燒的時間。	諧音「得」，這一天你得 (day) 滿分！	太陽升起到降落的美好時光。	daily, daytime, daylight	📅	The time it takes for the Earth to make one complete turn is called a day.	地球完成一次完整自轉所需的時間稱為一天。	Sun comes up, start the day, hip hip hooray!	Day (天) vs. They (他們)。
od3	od3_7	Month	名詞 (Noun)	月份	來自 moon (月亮)，一個月就是月亮圓缺一次的週期。	諧音「芒死」，這個月份工作太多，快要忙死 (month) 了。	翻開牆上的月曆，上面有三十個格子。	monthly, next month	🗓️	One year is equal to 12 months.	一年等於12個月。	Twelve months in a year, give a loud cheer!	Month (月) vs. Mouth (嘴巴)。
od3	od3_7	Year	名詞 (Noun)	年	原始印歐語，表示「春天」或「季節的循環」。	諧音「爺」，過了一年，爺爺又長了一歲。	跨年夜的煙火綻放，慶祝新的一年。	yearly, leap year	🎆	The time it takes for the Earth to go around the sun once is called a year.	地球繞太陽一圈所需的時間稱為一年。	A new year is here, let's clap and cheer!	Year (年) vs. Ear (耳朵)。
od3	od3_7	Spin	動詞 (Verb: spin, spun, spun)	旋轉，自轉	源自古英語 spinnan，原指紡紗時的旋轉動作。	諧音「死拚」，芭蕾舞者死拚著連續旋轉不跌倒。	拿著一顆陀螺，在地上高速打轉。	spin around, spinner	🌀	The Earth turns, or spins, on an imaginary line.	地球繞著一條假想線轉動，或自轉。	Spin the top, never stop!	Spin (旋轉) vs. Span (跨度)。
od3	od3_7	Orbit	動詞/名詞 (Verb: orbit, orbited, orbited / Noun)	公轉，軌道	orb (圓球) + it (走) -> 繞著圓形走。	諧音「喔！逼它」，喔！太陽的引力逼它（地球）在軌道上走。	太空船繞著地球畫出一個大圓圈飛行。	in orbit, Earth's orbit	🪐	The Earth travels around, or orbits, the sun.	地球繞著太陽運行，或是說公轉。	Orbit the sun, making a run!	Orbit (軌道) vs. Rabbit (兔子)。
od3	od3_7	Time zone	名詞 (Noun)	時區	time (時間) + zone (區域)。	諧音「太重」，手錶跨越不同時區要調時間，實在覺得太沉重。	飯店牆上掛著世界各國時間的時鐘，有紐約、倫敦、東京。	in the same time zone	🗺️	We divide the Earth into 24 time zones.	我們將地球劃分為24個時區。	Time zone to time zone, we are on the phone.	Zone (區域) vs. Zoo (動物園)。
